                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3809,                 4.0582,                 4.2096,                0.00363,                0.35549,                0.00335,                0.00148,                 3.1307,                 3.9055,                 4.1349,             0.00051677,             0.00051677,             0.00051677
                      2,                 3.3106,                  3.904,                 4.0727,                0.00367,                0.35592,                0.00458,                0.00183,                  3.141,                 3.9186,                 4.1589,              0.0010398,              0.0010398,              0.0010398
                      3,                 3.2247,                 3.7882,                 3.7314,                0.00511,                0.31643,                 0.0049,                 0.0019,                 3.2026,                 4.4125,                 4.3905,              0.0015523,              0.0015523,              0.0015523
                      4,                 3.0465,                 3.7502,                 3.5013,                0.01114,                0.12183,                0.00466,                0.00144,                 2.8788,                 5.7794,                  4.143,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.9432,                 3.6441,                 3.3184,                0.04394,                0.05183,                0.01202,                0.00354,                 2.8628,                    inf,                 3.4935,              0.0016175,              0.0016175,              0.0016175
                      6,                 2.9064,                 3.5286,                 3.1749,                0.03808,                0.19314,                0.02512,                0.00682,                 2.8561,                 7.6988,                 3.1974,               0.001601,               0.001601,               0.001601
                      7,                  2.761,                 3.4395,                 3.1146,                0.09602,                0.12616,                0.04839,                0.01548,                 2.7175,                 6.4052,                 3.3102,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.7254,                 3.3661,                 3.0614,                0.16722,                0.15388,                0.07737,                0.02422,                 2.5873,                 4.6351,                 3.0683,               0.001568,               0.001568,               0.001568
                      9,                 2.6843,                 3.2833,                 2.9707,                0.13424,                0.17631,                0.05577,                0.01754,                 2.6455,                 4.5871,                 3.1406,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.5907,                 3.2026,                 2.9215,                0.15439,                0.18409,                0.06606,                 0.0219,                 2.5215,                  3.673,                 2.9549,               0.001535,               0.001535,               0.001535
                     11,                 2.5657,                 3.1475,                 2.8758,                0.59284,                0.08883,                0.05572,                0.01762,                 2.4983,                 4.3093,                 2.8777,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.5095,                 3.0232,                 2.7983,                0.24413,                0.18288,                0.10418,                0.03684,                 2.3951,                 4.0605,                 2.8945,               0.001502,               0.001502,               0.001502
                     13,                 2.5029,                 3.0492,                 2.7963,                0.23225,                0.13226,                0.09491,                0.03252,                 2.3302,                 3.8028,                 2.8331,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.4147,                 2.8974,                 2.7656,                0.64166,                0.06701,                0.06032,                0.01945,                 2.4235,                 3.5515,                 2.9262,               0.001469,               0.001469,               0.001469
                     15,                 2.4041,                 2.9267,                 2.7336,                0.18313,                0.19195,                0.13872,                0.05202,                 2.2659,                 2.7904,                 2.7506,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.3491,                 2.8194,                 2.6431,                 0.2784,                 0.2482,                0.16818,                0.06362,                 2.1999,                 2.8312,                 2.5712,               0.001436,               0.001436,               0.001436
